,price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,park,Lift,Status_Under Construction,Status_unknown,neworold_Resale,Furnished_status_Semi-Furnished,Furnished_status_Unfurnished,Furnished_status_unknown,type_of_building_Individual House
117,8460000.0,1045.0,19.285007,72.871962,2.0,2.0,4.0,4.0,4.0,0,1,0,0,1,0,0
118,22100000.0,1330.0,19.220760345458984,72.85809326171875,2.0,2.0,2.0,2.0,2.0,0,1,0,0,1,0,0
119,12600000.0,1100.0,19.263496,72.875621,2.0,2.0,4.0,4.0,4.0,0,1,0,1,0,0,0
120,5580000.0,915.0,19.35926793,72.85687374,2.0,2.0,4.0,4.0,4.0,0,1,0,0,1,0,0
121,23500000.0,1210.0,19.1629924,72.83930190000001,2.0,3.0,0.0,0.0,0.0,0,1,0,0,1,0,0
122,32000000.0,961.0,19.1137131,72.86100970000001,2.0,3.0,3.0,3.0,3.0,0,1,0,1,0,0,0
123,38300000.0,1600.0,19.1629924,72.83930190000001,3.0,3.0,0.0,0.0,0.0,0,1,0,0,1,0,0
124,17500000.0,1050.0,19.1184266,72.8958535,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
125,14500000.0,900.0,19.191485,72.83739,2.0,2.0,1.0,1.0,1.0,0,1,1,0,1,0,0
126,20100000.0,1131.0,19.141978,72.812312,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
127,7200000.0,850.0,19.280031,72.883798,2.0,2.0,3.0,3.0,3.0,0,1,0,1,0,0,0
128,14400000.0,1000.0,19.1859,72.84037,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
129,15100000.0,727.0,19.19038,72.83293,2.0,2.0,1.0,1.0,1.0,0,1,0,0,1,0,0
130,35000000.0,806.0,19.022622,72.858387,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
131,46500000.0,1750.0,19.006180342037,72.8286779623475,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,1,0
132,15000000.0,1500.0,19.204983,72.824373,2.0,2.0,4.0,4.0,4.0,0,1,1,0,1,0,0
133,13600000.000000002,910.0,19.1746739,72.94310379999999,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
134,18500000.0,1000.0,19.07907,72.907976,2.0,2.0,0.0,0.0,0.0,0,1,1,0,1,0,0
135,8500000.0,974.0,19.2834,72.886291,2.0,2.0,3.0,3.0,3.0,0,1,0,0,1,0,0
136,25000000.0,800.0,19.05861,72.84431,2.0,2.0,2.0,2.0,2.0,0,1,0,0,1,0,0
